SPTAN1
LOC102723918
FAM213B
L1CAM
STOX2
TNR
KLHDC10
LHX2
DNM1
ANKS1B
LMF1
CCDC92
LNX1
LINC00936
KIAA1211L
ARHGEF4 /// LOC101930241
SIDT2
UQCR11
EPM2AIP1
MICAL2
SCN3B
SDF4
COPB1
SNAP25
FAM127A
PLXNA1
NCAM1
TROVE2
THY1
SMARCA4
CUTA
COX6A1
FOXP1
OLFM1
MAP6
EDF1
KATNB1
ARHGAP32
MAPRE2
ATP5G1
CYP46A1
NPIPA1
ALDOA
RAB7A
ARF3
CAND2
MINK1
CACNA1E
PRDX2
RP5-882O7.1
NDUFA3
RBFOX3
LPHN1
FAIM2
STXBP1
LOC101930075 /// LOC102724993 /// NPIPA1 /// NPIPA2 /// NPIPA3 /// NPIPA5 /// NPIPA7 /// NPIPA8 /// PKD1P1
MRPL41
LZTS3
EIF3L
GABRB3
TLN2
CYFIP2
RPS15
UBR4
RPN2
MKRN1
RAB40C
LOC100288911
CARS
GPM6A
RP3-525N10.2
RBFOX1
MRPS15
FSD1
NOP58
SPCS3
SNORA29 /// TCP1
SYN1
GAPDH
ASMTL
DNAJC1
LDOC1
SEPT8
LOC642852
CA11
ABI2
MIR6805 /// RPL28
RPL13A /// RPL13AP5 /// SNORD32A /// SNORD33 /// SNORD34 /// SNORD35A
SV2A
VPS4A
MIR4691 /// MIR7113 /// NDUFS8
BRSK2
SLC25A6
NRXN2
RPL14
LOC101930075 /// NPIPA1 /// NPIPA2 /// NPIPA3 /// NPIPA5 /// NPIPA7 /// NPIPA8 /// PKD1P1
WIPI2
LOC101060373 /// NOMO1 /// NOMO2 /// NOMO3
AP1G2
CPLX1
FLJ22184
LINGO1
RPUSD3
TIMM23 /// TIMM23B
TUBB4A
PPME1
CERS1 /// GDF1
GALNT16
QKI
AP3D1
MAST3
DPP6
DTNA
TPI1
MED25 /// MIR6800
H2AFY
TUBB2A
SYNGR3
LOC399491
PCSK1N
GLG1
CYB5R3
ATCAY
FAM107B
IRF2BP2
BNIP3
LRPAP1
ANKRD9
TMSB10
NCOA4
GNAS
LARS
AAK1
MIF
ALDOC
FAM134A
C1orf61
GABBR2
PTP4A2
SLC17A7
PTGDS
HDLBP
PON2
C16orf52 /// LOC101930115 /// VWA3A
CHRM1
CLIP3
MED16
HIPK2
XKR4
USP11
ARMC2-AS1 /// ATP5J2
HPCA
SLC22A17
STOML1
BRINP1
NRCAM
RPH3A
ZBTB33
GNB5
NDUFV3
DNAJA2
SLC25A23
ABHD14A /// ACY1
CST3
PFKM
MRPL9
AP2M1
AMER2
MARK4
MT2A
PI4KA /// PI4KAP1 /// PI4KAP2
GPI
MLLT11
TUBA1A
NDRG1
APLP1
ADD3
CASKIN1
RPL41
RGS7
LOC101927673 /// OTUB1
INA
CAP2
GNG3
CTSB
TMEM97
KIZ
ZRANB2
NARS
P4HTM
YWHAZ
AKT3
TUBB4B
SPOCK2
CCDC84
PMP2
ERBB2IP
SEZ6L2
FIG4
ATP6V1F /// LOC101927180
CUEDC2
PCDHA1 /// PCDHA10 /// PCDHA11 /// PCDHA12 /// PCDHA13 /// PCDHA2 /// PCDHA3 /// PCDHA4 /// PCDHA5 /// PCDHA6 /// PCDHA7 /// PCDHA8 /// PCDHA9 /// PCDHAC1 /// PCDHAC2
NPTN-IT1
RPS6
FAT3
PAK1
ANAPC13
VPS35
TXNL1
NME7
NDUFB4
RAB3A
ATP2B4
MBP
TNPO2
CELF5
RNF145
KCNIP4
C9orf16
PCYOX1
GPX4
TCF4
CSRNP3
C14orf2
ATP6V0E2
ATP6V0C
MEA1
UBC
PRDX6
NEFL
RGS7BP
GPR37 /// SEL1L2
PPDPF
FKBP1B
LUC7L3
KIF1A
BSCL2 /// HNRNPUL2-BSCL2
PSMA5
TCEB2
ATP6V1G2
LOC100233156 /// MAFIP /// TEKT4P2
IQSEC1
ARHGEF7
P2RX5-TAX1BP3 /// TAX1BP3
HS6ST3
PLP1
CALM1 /// CALM2 /// CALM3
RAB6B
COX7A2
AHCYL1
PSMD14
MT1F
BAIAP3
DYNLRB1
LRRC4C
LDHA
PPP3CA
TBL1XR1
GNB1
SRRM1
CDIPT
SLC17A6
FAM69A
KIF5B
CAP1
C17orf49 /// RNASEK /// RNASEK-C17orf49
YWHAE
LMO3
AKAP13
MOBP
OLA1
DDX24
DEGS1
PAM
EEF2
TCF25
ACOT7
DDX27 /// SS18
VAMP1
MT1H
EIF3G
LOC101930415
KCNQ2
TUBB3
WSB1
HARS /// LOC101928623
RALYL
MT1X
HSPB11
EIF3C /// EIF3CL
MTCH1
MT1E
GYG1
CKMT1A /// CKMT1B
GUCY1A3
ELAVL4
MIR4784 /// MZT2A /// MZT2B
ATP5B
CRIM1 /// LOC101929500
DDX27
EEF1A2
HSPA4
NAP1L5
FTO
TOMM70A
TCEAL4
RBFOX2
ABAT
FTL
LUZP1
SYT13
MYH10
KIAA1598
JTB
KCNJ9
YARS
PIP5K1C
FLOT1
FXYD6
SUB1
PRKACB
GABRA1
